course_id,title,description,skills,semester,bid_points
TO-620,Applied Business Analytics,"Hands-on analytics projects for managers focused on SQL, experimentation, and business decisions.","analytics,sql,experimentation,data-driven decision-making",W25,"520,480,510"
MKT-620,Digital Marketing Strategy,"Covers performance marketing, attribution models, and digital channel strategy.","marketing,product growth,analytics,customer acquisition",W25,"500,470,490"
TO-653,Product Management,"Teaches roadmapping, MVPs, and stakeholder alignment for product leaders.","product strategy,agile,ux,roadmapping",W25,"550,520,540"
FIN-621,Valuation,"Focuses on discounted cash flow, comparables, and corporate valuation techniques.","finance,valuation,modeling,corporate finance",W25,"530,500,520"
MO-603,Leading People and Organizations,"Explores leadership, motivation, and team effectiveness.","leadership,organizational behavior,communication,psychology",F24,"510,480,500"
STR-611,Corporate Strategy,"Frameworks for diversification, competitive advantage, and global expansion.","strategy,competitive analysis,corporate governance",W25,"520,490,500"
TO-618,Supply Chain Analytics,Optimization and simulation techniques for managing supply chains efficiently.,"operations,optimization,data analysis,logistics",W25,"490,460,480"
ACC-501,Managerial Accounting,"Introduces cost behavior, budgeting, and performance measurement systems.","accounting,budgeting,cost management,decision-making",F24,"470,440,460"
FIN-602,Investments,"Portfolio theory, asset pricing, and risk-return tradeoffs in capital markets.","finance,portfolio management,risk analysis,econometrics",W25,"530,500,520"
MO-637,Negotiations,"Interactive course on bargaining, conflict resolution, and influence.","negotiation,communication,leadership,psychology",W25,"550,520,540"
TO-616,Big Data Management Tools,"Hands-on use of SQL, NoSQL, and cloud tools for data storage and retrieval.","data engineering,sql,cloud computing,databases",W25,"510,480,500"
MKT-640,Brand Management,"Covers positioning, brand equity, and marketing communications strategy.","branding,marketing strategy,consumer behavior,advertising",F24,"520,490,500"
TO-701,Artificial Intelligence for Business,"Introduces AI applications, machine learning, and ethical considerations in business.","ai,machine learning,ethics,innovation",W25,"540,510,520"
STR-621,Competitive Advantage,Strategy frameworks to analyze market forces and build sustainable advantage.,"strategy,market analysis,competitive positioning,innovation",F24,"510,480,490"
MO-605,Managing Change,Addresses how to lead organizational transformation and change adoption.,"change management,leadership,communication,organization design",W25,"500,470,490"
FIN-630,Private Equity and Venture Capital,"Examines deal structures, valuation, and exits in PE/VC markets.","finance,entrepreneurship,valuation,investing",W25,"550,520,540"
TO-627,Decision Modeling,Quantitative modeling techniques to support managerial decision-making.,"analytics,optimization,decision analysis,excel modeling",F24,"480,450,470"
BL-510,Legal Aspects of Management,"Explores contracts, corporate law, and intellectual property for managers.","law,corporate governance,risk management,ethics",F24,"490,460,480"
MO-689,Leading Diverse Teams,"Focuses on inclusion, diversity, and equity in organizational leadership.","leadership,diversity,inclusion,team dynamics",W25,"500,470,490"
TO-699,Tech Product Strategy,"Explores product-market fit, scaling technology products, and AI-driven business models.","product strategy,technology,ai,business models",W25,"560,530,540"
